question,document
What should I do if the third-party login fails when I try to submit my homework?,c774542f32
Can I use a different method to log in and submit my assignments if GitHub isn't working?,c774542f32
"How long is the GitHub login issue expected to last, and will it affect my ability to submit homework?",c774542f32
What's the reason you decided not to teach Langchain in this course?,b7cdde6b25
I noticed the course doesn't use Langchain - is that intentional or should we be learning it separately?,b7cdde6b25
Why are we building everything from scratch instead of using Langchain like most people do?,b7cdde6b25
"Should I learn Langchain before taking this course, or is there a specific reason it's not part of the curriculum?",b7cdde6b25
How does skipping Langchain help us understand LLMs better compared to just using the framework?,b7cdde6b25
Why am I getting an 'Insufficient credits' error when I try to use OpenAI's responses.create?,f5df151c59
What does it mean when OpenAI throws an API error about credits while running my code?,f5df151c59
How do I fix the error that shows up when I run the responses.create command on OpenAI?,f5df151c59
I keep getting an 'Insufficient credits' message - does that mean my account is out of money?,f5df151c59
What's causing my OpenAI API calls to fail with a credits error message?,f5df151c59
Why am I getting a RateLimitError 429 from OpenAI and how do I fix it?,152af39a53
I'm trying to use the OpenAI API but keep getting an insufficient quota error - what does that mean?,152af39a53
How do I add funds to my OpenAI account so I can actually use the API?,152af39a53
Do I need to pay for OpenAI API usage and if so what's the minimum amount I need to add?,152af39a53
"After adding credits to OpenAI, do I need to create a new API key or is there anything else I need to do?",152af39a53
Why am I getting an import error when trying to use OpenAI in my project?,35e1ef85a1
How do I fix the 'Cannot import name OpenAI from openai' error?,35e1ef85a1
What version of the openai library should I be using?,35e1ef85a1
I keep getting import errors with OpenAI - what's the solution?,35e1ef85a1
My code worked before but now I'm getting OpenAI import issues - what changed?,35e1ef85a1
What's the minimum amount I need to spend to start using the OpenAI API?,554d0eb78b
Is it expensive to use the OpenAI API or can I do it on a budget?,554d0eb78b
How much does it actually cost to get started with OpenAI?,554d0eb78b
Can I use the OpenAI API if I only have a small amount of money to spend?,554d0eb78b
What's the cheapest way to start experimenting with the OpenAI API?,554d0eb78b
Do I need to pay for OpenAI API to finish the course assignments?,85384a18e5
Are there any free options I can use instead of paying for OpenAI?,85384a18e5
Can I complete all the homeworks without spending money on OpenAI?,85384a18e5
What free alternatives are available for this course besides OpenAI?,85384a18e5
Is OpenAI API subscription required or are there workarounds?,85384a18e5
What's the best way to keep my API keys secure without accidentally uploading them?,8d23fe792f
How do I set up a YAML file to store my OpenAI and Groq keys safely?,8d23fe792f
What steps do I need to follow to load API keys from a file in my Python notebook?,8d23fe792f
Why should I add api_keys.yml to my .gitignore and how do I do it?,8d23fe792f
"Can I use a YAML file to manage multiple API keys at once, and how would I access them in my code?",8d23fe792f
What's the best way to keep my API keys safe when working with Python?,233dabe430
How do I load environment variables from a .env file in my project?,233dabe430
Can you explain the process of storing API credentials securely so they don't get exposed?,233dabe430
What steps do I need to follow to use dotenv and retrieve API keys in my code?,233dabe430
Why is it important to add .env to .gitignore and how do I actually set this up?,233dabe430
How do I fix the issue where my OpenAI API key isn't being recognized in Jupyter?,86d99bbf21
What's the best way to set up environment variables for my API key in a notebook?,86d99bbf21
"I keep getting an error about the api_key not being set, how can I resolve this?",86d99bbf21
Can I use Codespaces secrets instead of a .envrc file for my API key?,86d99bbf21
Why isn't my OPENAI_API_KEY environment variable working and what should I do about it?,86d99bbf21
I'm working with Groq but they don't seem to have a tokenizer library. What's the best way to count tokens for the GPT-4o model in homework 6?,fe8fed31e6
How can I figure out how many tokens my prompts are using if I'm not using OpenAI directly?,fe8fed31e6
Do I need an OpenAI API key to check token counts for GPT-4o?,fe8fed31e6
What Python tool can I use to estimate token counts without relying on Groq's tokenizer?,fe8fed31e6
Is there a way to test token counting for the homework assignment if my provider doesn't offer that functionality?,fe8fed31e6
Is it possible to swap out OpenAI for Groq in this course?,ee43413718
Do I have to use OpenAI or can I work with other LLM services?,ee43413718
What if I want to use Groq instead of paying for OpenAI - will that work for the assignments?,ee43413718
Can I complete the homework without spending money on OpenAI?,ee43413718
How much modification would I need to do to use a different LLM platform like Groq?,ee43413718
Are there any free or open-source models I can use instead of paying for OpenAI?,3fd5c51182
Where can I find information about open-source LLM options for this course?,3fd5c51182
Do I have to use OpenAI's API or can I work with other models?,3fd5c51182
How do I get started with open-source alternatives if I don't want to use OpenAI?,3fd5c51182
What open-source tools and models are recommended for the LLM projects in this course?,3fd5c51182
Why am I getting a 429 RateLimitError with insufficient_quota from OpenAI even though I'm not hitting the rate limit?,6e1d8a7b29
I got this OpenAI error about insufficient_quota but I thought that was just a temporary rate limit—what's actually going on?,6e1d8a7b29
My OpenAI account doesn't have any credit and I'm getting an insufficient_quota error—what are my options?,6e1d8a7b29
Can I use free LLM alternatives like Groq or Gemini instead of OpenAI for this course?,6e1d8a7b29
"What's the difference between OpenAI's insufficient_quota error and a regular rate limit, and how do I fix it?",6e1d8a7b29
Why am I getting an empty list when I try to filter my query in the homework?,83da208a64
What should I do if my filtered query returns no results in the assignment?,83da208a64
How do I fix the issue where my homework Q3 query isn't returning any data?,83da208a64
Do I need to set up index settings before adding data to avoid getting empty results?,83da208a64
What's the right order for setting up indices so my filters actually work?,83da208a64
Why do I keep getting a SyntaxError about an invalid character when I try to run minsearch that I downloaded?,f3a92e7c81
"I downloaded minsearch from GitHub but it won't run, what's causing the syntax error with the weird character?",f3a92e7c81
How do I properly download the minsearch file from GitHub to avoid getting errors?,f3a92e7c81
What's the best way to get minsearch set up without running into character encoding issues?,f3a92e7c81
"I'm getting SyntaxError invalid character when using my local copy of minsearch, how should I fix this?",f3a92e7c81
"I keep getting a ModuleNotFoundError when trying to import docx in my notebook, what's going on?",cf93377279
How do I fix the import error for the docx module in the parse-faq script?,cf93377279
Why isn't the docx module available even though I thought I installed it already?,cf93377279
What's the correct package name I need to install to work with Word documents in Python?,cf93377279
I'm getting an error that says 'No module named docx' - how can I resolve this?,cf93377279
Why can't I just use tiktoken for counting tokens with Gemini and other non-OpenAI models?,4d8c1f5b3a
How do I actually count tokens if I'm working with a Gemini model?,4d8c1f5b3a
What's the right way to get token counts when using Hugging Face or open-source LLMs?,4d8c1f5b3a
I heard about using cl100k_base as a fallback for different providers - is that a good approach?,4d8c1f5b3a
Which tokenizer should I use for Mistral to avoid getting wrong token counts?,4d8c1f5b3a
Why is my tiktoken count different from what OpenAI actually charges me for?,bf0403d21b
How does OpenAI add extra tokens beyond my text content?,bf0403d21b
What causes the discrepancy between local token counting and API token reporting?,bf0403d21b
How many tokens does OpenAI add for message structure and formatting?,bf0403d21b
Could whitespace and special characters be making my token count higher than expected?,bf0403d21b
What's the easiest way to keep my API key loaded without having to export it every time I open a new terminal?,8b2f5e9d04
How do I make sure my API key persists across terminal sessions without constantly re-exporting it?,8b2f5e9d04
Is there a way to automatically load environment variables when I navigate to my project folder?,8b2f5e9d04
What's the best practice for managing API keys so they stay loaded and don't get pushed to GitHub?,8b2f5e9d04
Can I set up my environment variables once so they're available every time I cd into my project directory?,8b2f5e9d04
What's the best way to get started with Ollama on my computer?,1d0b969028
How do I download and set up Ollama for my operating system?,1d0b969028
"After installing Ollama, how do I actually run a model and test if it's working?",1d0b969028
"Can I use Ollama with Python, and if so how do I do that?",1d0b969028
What steps do I need to follow to get the LLaMA 3 model running locally on my machine?,1d0b969028
Why am I getting a connection refused error when I try to use the ollama RAG system?,c6fc2d4d11
How do I fix the connection refused issue in the Module 2 homework assignment?,c6fc2d4d11
What should I do if ollama won't connect during the agents exercises?,c6fc2d4d11
Is there a way to restart the ollama server if it keeps giving me connection errors?,c6fc2d4d11
The homework keeps failing with connection refused - how can I get it working again?,c6fc2d4d11
Are there any free models I can use that support tool calling?,0d74a3616f
What free options do I have if I want to build agents with tool use capabilities?,0d74a3616f
Can I use Deepseek R1 or Llama 4 without paying anything for development?,0d74a3616f
Where can I find free models that let me implement function calling in my projects?,0d74a3616f
Is there a way to test tool-use features without spending money on API calls?,0d74a3616f
Why do I keep getting 'RuntimeError: Already running asyncio in this thread' when I try to use asyncio.run() in my Jupyter notebook?,7c4e1a3b58
How should I properly run async functions inside a Jupyter notebook instead of using asyncio.run()?,7c4e1a3b58
What's the right way to start the FastMCP server in the agents homework - from the notebook or somewhere else?,7c4e1a3b58
"I'm working with the FastMCP server and getting asyncio errors, should I be using mcp.run_async() or something else?",7c4e1a3b58
"Do I really need to run the MCP server from a terminal, or can I just do it directly in my notebook cells?",7c4e1a3b58
Why am I getting a validation error when I pass a float to my tool if float is a number?,5beafdd0c8
How does JSON Schema determine what type of value my tool should accept?,5beafdd0c8
What's the difference between Python types and the types I need to use for FastMCP tools?,5beafdd0c8
"I keep sending what I think is a valid number to my tool but it keeps failing validation, what could be wrong?",5beafdd0c8
Does it matter if I send an integer or a float if my tool's schema just says it expects a 'number'?,5beafdd0c8
Are there any open source models I can use for function calling in this course besides OpenAI?,2a8f6c4d91
What are some free alternatives to OpenAI that can do tool calling?,2a8f6c4d91
"I want to use a local model for agents, does Ollama support function calling?",2a8f6c4d91
Can I use Gemini or Mistral instead of OpenAI for the homework on tool use?,2a8f6c4d91
Which models actually support function calling and what do I need to change in my code?,2a8f6c4d91
Do I need to have Node.js already set up before installing MCP Inspector?,d09e8d4843
What's the exact command I should run to get MCP Inspector installed on my machine?,d09e8d4843
How do I install the @modelcontextprotocol/inspector package using npm?,d09e8d4843
"Is there anything I need to check before I can install MCP Inspector, or can I just run the install command right away?",d09e8d4843
I want to get started with MCP Inspector - what are the basic setup steps I should follow first?,d09e8d4843
Why am I getting an 'AttributeError: str object has no attribute output' error when trying to use a non-OpenAI model?,9e7b3f0c25
"How do I fix the response.output issue when working with Mistral, Groq, or other non-OpenAI providers?",9e7b3f0c25
What's the difference between using the new Responses API and the chat-completions API for different model providers?,9e7b3f0c25
How should I structure my code to get the actual response text when using a third-party API provider instead of OpenAI?,9e7b3f0c25
Do I need to change anything else besides the API call when switching from OpenAI to another provider like Gemini or Groq?,9e7b3f0c25
How do I actually run the MCP Inspector tool?,42c7af7ed5
What command should I use to start the MCP Inspector?,42c7af7ed5
I'm trying to get the MCP Inspector up and running - what do I need to type?,42c7af7ed5
Can someone explain how to launch the MCP Inspector from the terminal?,42c7af7ed5
What's the correct way to execute the MCP Inspector in my terminal?,42c7af7ed5
How do I test my MCP Server to make sure it's working correctly?,9c2fd5451c
What can the MCP Inspector actually show me about my server?,9c2fd5451c
Is there a way to inspect what tools and resources my MCP Server has?,9c2fd5451c
How do I connect to my MCP Server for testing purposes?,9c2fd5451c
What's the best approach to verify that my MCP Server is set up properly?,9c2fd5451c
Why do I keep getting a RuntimeError when I try to use asyncio.run() in my Jupyter notebook?,f96fde1726
What's the right way to handle async functions in Jupyter instead of asyncio.run()?,f96fde1726
"I'm working with async code in a notebook and getting an error about an already running event loop, how do I fix this?",f96fde1726
"Can I use asyncio.run() inside a Jupyter cell, or is there a better approach?",f96fde1726
How come await works in Jupyter but asyncio.run() throws an error when I try to run async functions?,f96fde1726
Why am I getting a 400 error about missing 'tools[0].function' when using Azure OpenAI?,b9c7c6bb34
How should I structure my get_weather_tool function definition for Azure OpenAI to avoid parameter errors?,b9c7c6bb34
"I keep getting an invalid_request_error saying 'tools[0].function' is missing, what's the fix?",b9c7c6bb34
What's the correct JSON format for defining a function tool in Azure OpenAI?,b9c7c6bb34
"My Azure OpenAI setup is throwing an error about missing required parameters in the tools array, how do I resolve this?",b9c7c6bb34
Can you explain how embeddings convert text into numbers and why that matters?,69430a79a8
What's the point of turning words and data into numerical vectors?,69430a79a8
How do embeddings help measure if two pieces of information are similar to each other?,69430a79a8
What happens when you run similar inputs through an embedding model - do you get similar outputs?,69430a79a8
Why is converting non-numerical data to numerical form useful in machine learning?,69430a79a8
How do I get rid of that warning about 'multi-qa-mpnet-base-dot-v1' being made on sentence transformers v3.0.0?,aa3f597424
What should I do if I keep getting a warning message about the model version in sentence transformers?,aa3f597424
Is there a way to fix the sentence transformers compatibility warning I'm seeing?,aa3f597424
My code is throwing a warning about the model being made on an older version - how do I resolve this?,aa3f597424
What's the proper way to update sentence transformers to stop getting version compatibility warnings?,aa3f597424
How come the lesson just used .dot(...) for similarity but the homework keeps talking about normalizing vectors?,92cd22cada
Why do we need to normalize embeddings in the homework when the lesson didn't mention it at all?,92cd22cada
I'm confused - when should I use .dot(...) directly vs normalizing first to calculate similarity?,92cd22cada
"The embeddings from the model seem to already work with .dot(...) in the lesson, so why is normalization suddenly important in the homework?",92cd22cada
What's the difference between the embeddings we used in the lesson and the ones in the homework that makes normalization necessary?,92cd22cada
"What should I embed for vector search - the question, the answer, or both of them together?",5c4a8d2e60
Is there a best practice for what to embed when doing vector search in my project?,5c4a8d2e60
"How do I decide whether to embed questions, answers, or combine them for my search implementation?",5c4a8d2e60
Does it matter if I embed just the answer text or the full question-answer pair for semantic search?,5c4a8d2e60
What are the trade-offs between embedding answers versus questions for vector search performance?,5c4a8d2e60
Can someone explain what cosine similarity is and how it's actually used?,db78580409
How does cosine similarity work for comparing documents?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Is cosine similarity the same thing as comparing word counts between two texts?,db78580409
Why is cosine similarity useful for measuring how alike two documents are?,db78580409
How come you can use matrix multiplication instead of calculating cosine similarity for every embedding?,95feb4e75b
What's the relationship between cosine similarity and dot product when vectors are normalized?,95feb4e75b
Why does normalizing vectors to unit length make cosine similarity the same as dot product?,95feb4e75b
Can you explain why matrix multiplication works for computing cosine similarities efficiently?,95feb4e75b
How does the magnitude of vectors affect whether cosine similarity becomes just a dot product?,95feb4e75b
Why does my code crash with JSONDecodeError when I try to parse the LLM response?,a3c7e1b4f9
How do I make sure the LLM returns only valid JSON without markdown code blocks or extra text?,a3c7e1b4f9
What's the best way to force OpenAI to output pure JSON that I can parse directly?,a3c7e1b4f9
"My prompt asks for JSON but the LLM keeps wrapping it in code fences, how do I fix that?",a3c7e1b4f9
Are there ways to enforce JSON output format across different LLM providers like Gemini or Groq?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set?,b8f2d6a30c
I'm working on evaluation in Module 4 and my notebook keeps running out of memory with the embedding model. What can I do?,b8f2d6a30c
How can I get around the memory issues when loading embeddings in a Codespace environment?,b8f2d6a30c
My laptop has limited RAM and I'm hitting crashes during the embedding step for evaluation. Any solutions?,b8f2d6a30c
What's the best way to handle embedding the ground-truth set without my kernel crashing on a low-memory machine?,b8f2d6a30c
"I'm getting rate-limited by Gemini while building my ground-truth dataset, but I thought adding `time.sleep(4)` would prevent this. What's actually happening?",c1e9f4b820
My code keeps hitting the daily request limit with Gemini's free tier during my evaluation loop. What are some realistic alternatives I can try without breaking the bank?,c1e9f4b820
"Would switching to a different API like OpenAI or Groq actually solve my rate-limiting issues, and which one would be most practical for generating ground-truth data on a budget?",c1e9f4b820
How can I make sure I don't lose all my progress if I hit the rate limit partway through a long evaluation run?,c1e9f4b820
I'm trying to squeeze more throughput from my API calls for generating evaluation data. Should I be increasing or decreasing my thread pool concurrency when dealing with rate limits?,c1e9f4b820
Why do I keep getting an error about fbgemm.dll not being found when trying to use PyTorch on Windows?,15e931476c
How can I fix the WinError 126 that keeps showing up when I try to import torch on my Windows machine?,15e931476c
What should I install to resolve the missing fbgemm.dll dependency issue in PyTorch on Windows?,15e931476c
I'm on Windows and getting an error saying a module couldn't be found - is it related to missing Visual C++ files?,15e931476c
What's the difference between installing Visual Studio Code vs Visual Studio to fix PyTorch errors on Windows?,15e931476c
"I keep getting a psycopg2 OperationalError about postgres host not being found when I try to run prep.py, what should I do?",4b65d5542d
Why am I getting 'could not translate host name postgres to address' error and how do I fix it?,4b65d5542d
How do I resolve the OperationalError with postgres connection in my setup?,4b65d5542d
"My prep.py script is failing because it can't find the postgres host, what's the solution?",4b65d5542d
What configuration change do I need to make to fix the host name translation issue with postgres?,4b65d5542d
How do I make Pandas display full text in columns instead of cutting it off?,641aedbbf5
What's the trick to see the complete Explanation column in the LLM judge evaluation notebook?,641aedbbf5
I keep getting truncated text when viewing Pandas dataframes - how do I fix this?,641aedbbf5
Is there a way to increase the column width limit in Pandas to see everything?,641aedbbf5
Why is my Pandas output showing '...' at the end of long text and how can I stop it?,641aedbbf5
What's the best way to normalize vectors that are stored in a DataFrame column?,5039707c1a
"Can I use Pandas to normalize a Series of vectors, and if so how?",5039707c1a
How do I divide each vector by its norm in a DataFrame?,5039707c1a
What's a quick method to normalize column data without loops in Pandas?,5039707c1a
Is there a simple way to scale vector values in a DataFrame column to unit length?,5039707c1a
What's the quickest way to find a specific percentile value in a Pandas column?,b4c8ac5a0c
How do I calculate the 75th percentile from a Series in Pandas?,b4c8ac5a0c
Can someone explain how to use the quantile method on a DataFrame column?,b4c8ac5a0c
What's the difference between computing a quantile and percentile in Pandas?,b4c8ac5a0c
How would I get the 0.75 quantile from my data using Pandas?,b4c8ac5a0c
Is there a command to clean up everything in Docker at once?,66ccbb7da0
How do I delete all my Docker containers without stopping them first?,66ccbb7da0
What's the quickest way to remove all the Docker images I have installed?,66ccbb7da0
Can I remove all volumes from Docker without having to list them manually?,66ccbb7da0
How do you completely clear Docker to start fresh without removing the application?,66ccbb7da0
How do I prevent users from giving feedback multiple times on the same submission in Streamlit?,2e729f1271
Why does my session state variable keep getting reset to False even after I click a feedback button?,2e729f1271
What's the best way to disable feedback buttons after a user has already voted on a submission?,2e729f1271
"I'm trying to limit feedback to one per submission, but my boolean flag keeps resetting - what could be causing this?",2e729f1271
"How can I ensure that once a user submits and gives feedback, the buttons stay disabled for that submission?",2e729f1271
"Why am I getting an executable file not found error when running my streamlit app with docker-compose, even though it works outside of it?",e8df9f0d12
How do I fix the issue where docker-compose can't find the streamlit command in the container?,e8df9f0d12
What steps do I need to take to properly set up a streamlit application to run with docker-compose?,e8df9f0d12
I keep getting an OCI runtime error with streamlit in docker-compose - what's the solution?,e8df9f0d12
"Do I need to modify my docker-compose file to include streamlit, and how do I rebuild everything?",e8df9f0d12
Do I have to work with other people on the capstone or is it just me?,0fab61eca2
Can I team up with someone else for the capstone project?,0fab61eca2
Is the capstone something I need to do alone?,0fab61eca2
Are we supposed to do the capstone by ourselves or in groups?,0fab61eca2
Can I get a partner for the capstone or do I have to work solo?,0fab61eca2
How many capstone projects are we required to submit for the course?,d5fc98925d
What's the difference between attempt 1 and attempt 2 when submitting?,d5fc98925d
"If I miss the first submission window, do I get another chance to submit my project?",d5fc98925d
"Can I submit two different projects instead of one, and if so what are the requirements?",d5fc98925d
Does my submission automatically count towards my certification or is there something else I need to do?,d5fc98925d
Is participating in the Kaggle competition the same as doing the capstone project?,e892d44e42
Can I just do the competition instead of the individual capstone?,e892d44e42
Do we have to work alone on the capstone or can we team up like in the competition?,e892d44e42
"If I join the Kaggle competition, does that count towards my capstone requirement?",e892d44e42
Can I form a team for the capstone project like I can for the competition?,e892d44e42
How does the peer review system work for grading capstone projects?,9a2e2d2008
What happens if I don't review the three projects assigned to me?,9a2e2d2008
How is my final capstone grade calculated from peer reviews?,9a2e2d2008
Who evaluates the capstone projects and how are they selected?,9a2e2d2008
Are there specific criteria I need to follow when grading other students' projects?,9a2e2d2008
How do I get assigned projects to review in the capstone?,eae0fb50aa
What happens after the capstone project submission deadline?,eae0fb50aa
Will I have to grade other people's capstone projects and how does that work?,eae0fb50aa
How many projects am I responsible for reviewing and when do I find out which ones?,eae0fb50aa
When will I know which capstone projects I need to evaluate?,eae0fb50aa
When do I get projects to review after submitting mine?,a8a7fef016
Why won't the review system let me choose which projects to evaluate?,a8a7fef016
Is there a specific date when I can start reviewing other people's submissions?,a8a7fef016
My project is already submitted but I don't see any projects to review yet—what's going on?,a8a7fef016
Do I have to wait for something before I can access projects for peer evaluation?,a8a7fef016
Where can I look for project ideas and datasets?,e76a70cde3
What resources are available if I'm not sure what to build for the capstone?,e76a70cde3
How do I pick a good dataset for my capstone project?,e76a70cde3
Are there any examples or suggestions for what the capstone project should be?,e76a70cde3
Where do I find tips and guidelines for the capstone project?,e76a70cde3
Do I have to use Airflow or some other tool to orchestrate my capstone project pipeline?,d4f7c08ea1
"Can I just submit a simple Python script for the ingestion part of the capstone, or do I need an actual orchestration framework?",d4f7c08ea1
I'm thinking about adding Airflow to my capstone project - is it necessary to get full marks on the ingestion pipeline?,d4f7c08ea1
What's the difference in scoring if I use a Jupyter notebook versus a Python script for my data ingestion in the capstone?,d4f7c08ea1
When would it actually make sense to include an orchestration tool in the capstone project instead of just using Python?,d4f7c08ea1
What's the best way to measure if my recommender RAG system is actually working well when I don't have real ground truth data?,9b0e2d6a47
How can I use an LLM to evaluate the quality of recommendations my RAG system is producing?,9b0e2d6a47
"Should I use hit rate or NDCG for evaluating a recommender-style RAG, and what's the difference?",9b0e2d6a47
"Can I create synthetic queries to test a recommender RAG, and if so how would that work?",9b0e2d6a47
What metrics should I track when there are multiple valid recommendations instead of just one correct answer?,9b0e2d6a47
How should I approach chunking for a large corpus with long PDFs and many paragraphs?,6f2a8b3d10
What's the best way to start with chunking if I'm not sure what strategy to use?,6f2a8b3d10
Should I try semantic chunking or stick with fixed-size chunks for my document corpus?,6f2a8b3d10
What tools can I use to convert PDFs into clean text before chunking them?,6f2a8b3d10
How do I know if my chunking strategy is actually working well?,6f2a8b3d10
What does reproducibility actually mean for our capstone project? Do reviewers need to have our API keys to test it?,e5d8a2c761
How do I make sure someone can rebuild my search index and run my project without needing my API credentials?,e5d8a2c761
Should I commit my .env file with all my API keys so reviewers can easily test the project?,e5d8a2c761
What's the best way to handle dependencies and make sure reviewers can recreate my exact setup?,e5d8a2c761
"Can I use expensive models in my project, or should I pick something cheaper so reviewers don't run out of credits testing it?",e5d8a2c761
Is it okay to use this workshop stuff for my capstone project?,d850a0e7ea
Can I apply what I learn here to other courses like the MLOps Zoomcamp?,d850a0e7ea
Are we allowed to use dlt in our own personal projects or do we have to keep it just for the course?,d850a0e7ea
Would it be cool to incorporate the workshop materials into a bigger project I'm working on?,d850a0e7ea
Is the content from this dlt workshop something I can build on for my own data engineering work?,d850a0e7ea
What command should I run to initialize a dlt project for loading data from cloud storage?,6bceeebf04
How do I get started setting up dlt when I need to work with filesystem data and DuckDB?,6bceeebf04
Can someone explain how to create a new dlt project that uses a database like DuckDB?,6bceeebf04
What's the first thing I should do when setting up dlt to ingest cloud-based files?,6bceeebf04
Where can I find the full documentation on setting up dlt for filesystem data ingestion?,6bceeebf04
Why am I getting a FileNotFoundError when trying to open the table notion_pages___homework in my pipeline?,0407213397
What should I do if I see an error saying 'Table notion_pages___homework does not exist'?,0407213397
I'm getting an error about a missing table during the dlt workshop - how do I fix this?,0407213397
My db.open_table() call keeps failing with FileNotFoundError - what's the issue here?,0407213397
How come the table isn't being found even though I'm trying to access it with the right name?,0407213397
Why am I getting a FileNotFoundError when trying to run my main function with a table that doesn't seem to exist?,e95bfafc0e
"I keep getting an error saying the table notion_pages___homework doesn't exist, what should I do to fix it?",e95bfafc0e
How do I fix the error where it says the table doesn't exist and tells me to create it first?,e95bfafc0e
What's the correct way to access the notion_pages___homework table without running into a FileNotFoundError?,e95bfafc0e
"I'm getting an error about a missing table in my code, should I create a new one or is there something else I'm missing?",e95bfafc0e
What's the easiest way to see what tables exist in my database?,e394e6f738
How can I get a list of all the tables stored in the db?,e394e6f738
Is there a method I can use to check which tables are currently in the database?,e394e6f738
What command should I run to view all available tables?,e394e6f738
How do I find out what tables I have without manually checking everything?,e394e6f738
Is there a DLT connector available for ClickHouse right now?,cd19f122f3
Can I use DLT to load data into StarRocks?,cd19f122f3
What databases does DLT currently support connections to?,cd19f122f3
How can I add support for ClickHouse in DLT if it's not built in?,cd19f122f3
Would it be possible to contribute a StarRocks connector to the DLT project?,cd19f122f3
Why am I getting a 401 Unauthorized error when trying to access the Notion API in my notebook?,0dfba07ace
How do I fix the authorization issue with Notion API if my notebook doesn't have secret access?,0dfba07ace
My Notion API integration keeps throwing a 401 error - what could be wrong with my setup?,0dfba07ace
Is there something I need to check with my API key and token when connecting to Notion?,0dfba07ace
What should I do if I keep getting unauthorized errors while trying to query Notion through dlt?,0dfba07ace
"I'm getting a version conflict where requests keeps installing v2.28 but lancedb needs v2.32, how do I fix this?",4b30b918bc
